A	a	Latin capital uncial A- (but: aren't minusc. and capit. allographs?) (?)	A
B	b	Latin capital uncial B-	B
C	c	Latin capital uncial C-	C
D	d	Latin capital uncial D-	D
E	e	Latin capital uncial E-	E
F	f	Latin capital uncial F-	F
G	g	Latin capital uncial G-	G
H	h	Latin capital uncial H-	H
J	j	Latin capital uncial J (in 2nd row of title). Allograph? (?)	J
L	l	Latin capital uncial L	L
M	m	Latin capital uncial M-	M
N	n	Latin capital uncial N-	N
O	o	Latin capital uncial O-	O
P	p	Latin capital uncial P-	P
Q	q	Latin capital uncial Q-	Q
R	r	Latin capital uncial R-	R
S	s	Latin capital uncial round S-	S
T	t	Latin capital uncial T	T
U	uv	Latin capital uncial U (NOT V; if it'll be V-shaped, better using V as ID)-	U
Z	z	Latin capital uncial Z-	Z
a	a	Latin minuscule uncial a	a
b	b	Latin minuscule uncial b	b
c	c	Latin minuscule uncial c	c
d	d	Latin minuscule uncial d	d
e	e	Latin minuscule uncial e	e
f	f	Latin minuscule uncial f-	f
g	g	Latin minuscule uncial g	g
h	h	Latin minuscule uncial h	h
i	i	Latin minuscule uncial i	i
l	l	Latin minuscule uncial l	l
m	m	Latin minuscule uncial m	m
n	n	Latin minuscule uncial n	n
o	o	Latin minuscule uncial o	o
p	p	Latin minuscule uncial p	p
q	q	Latin minuscule uncial q	q
r	r	Latin minuscule uncial r	r
s	s	Latin minuscule uncial round s	s
t	t	Latin minuscule uncial t	t
u	uv	u/v Latin minuscule uncial (u-shaped, not v-shaped)	u
z	z	Latin minuscule uncial z-	z
ae	a,e	Latin minuscule uncial e with a tail bottom left, img/ax.jpg	ę
a1	a	(in 1. line) Latin minuscule uncial a with kind of h attached on the right (?)	A
b_	b,i,s	(in 1. line) Latin minuscule uncial b with a macron top right (?)	b́
te	t,e	(end 2. line) A minuscule 't' and a minuscule 'e' joined. It looks like a 'æ' (?)	te
·		Middle dot	·
u_	uv,m	(in 2. line) u/v Latin minuscule uncial (u-shaped, not v-shaped) with macron above	ū
;		(end 2. line) It has the shape of a colon ';', but what does it mean? (?)	;
u1	uv,i	u/v Latin minuscule uncial (u-shaped, not v-shaped) with a line top right (?)	ú
e_	e,m	(end 4. line) Latin minuscule uncial e with macron above	ē
q2	q,uv,a,e	(end 5. line) Latin minuscule uncial q with macron above (and colon?) (?) 	q́;
q1	q,uv,e	(end 6. line) q with colon (?)	q;
