Judici(u_)	§	nou,[iudicium],n,s,iudicium
coci		§	nou,[cocus],g,s,coci
et		§	con,[et],et
pistoris	§	nou,[pistor],g,s,pistoris
-lb		§	
uespe		§	nou,[vespa],g,s,vespae
Judici		§	nou,[iudex],d,s,iudici?
uulcano		§	nou,[vulcanus],d,s,vulcano?
-lb		§	
Te		§	adv,[ter],ter
tern(ae)	§	adj,[ternus],n,p,f,ternae
uarias		§	adj,[varius],ac,p,f,varias
-·		§
cunct(a1)(b_)	§	adj,[cunctus],n,p,f,cunctae
traditis	§	ver,[trado],pr,ind,a,2,p,traditis
artes		§	nou,[ars],ac,p,artes
-lb		§
-indent		§
Linquite	§	ver,[linquo],pr,imp,a,2,p,linquite
pierios		§	adj,[pierius],ac,p,m,pierios
-wb		§
colles		§	nou,[collis],ac,p,colles
-·		§
et		§	con,[et],et
scribi(te)	§	ver,[scribo],pr,imp,a,2,p,scribite
me		§	pro,[ego],ac,s,me
c(u_)		§	pre,[cum],cum
-s_colon	§	?
-lb		§
Jlle		§	pro,[ille],n,s,m,ille
ego		§	pro,[ego],n,s,ego
uespa		§	nou,[vespa],n,s,vespa
precor		§	ver,[precor],pr,ind,d,1,s,precor
-·		§
-wb		§
c(u1)		§	pro,[qui1],d,s,cui
diu(ae)		§	adj,[divus],n,s,f,divae
sepe		§	adv,[saepe],saepe
dedistis	§	ver,[do],pf,ind,a,2,p,dedistis
-lb		§	
-indent		§	
permultas	§	adj,[permultus],ac,p,f,permultas
urbes		§	nou,[urbs],ac,s,urbes
-·		§
populo		§	nou,[populus1],d,s,populo
spectante	§	ver,[specto],pr,part,a,ab,s,m,spectante
pauor(e_)	§	nou,[pavor],ab,s,pavore
-·		§
-lb		§
Scribere	§	ver,[scribo],pr,inf,a,scribere
maius		§	adj,[magnus],n,s,n,comparative,maius
opus		§	nou,[opus],n,s,n,opus
-·		§
et		§	con,[et],et
dulcia		§	adj,[dulcis],ac,p,n,dulcia
carmina		§	nou,[carmen],ac,p,n,carmina
(q1)ro		§	ver,[quaero1],pr,ind,a,1,s,quaero?
-lb		§
-indent		§
nec		§	con,[nec],nec
mel		§	nou,[mel],n,s,n,mel
erit		§	ver,[sum],ft,ind,a,3,s,erit
solum		§	adj,[solus],n,s,n,solum
-·		§
aliquid		§	pro,[aliquis],n,s,n,aliquid
quo(q1)		§	adv,[quoque],quoque
iuris		§	nou,[ius1],g,s,n,iuris
habebrp		§	?
